Rk,Player,Team,Pos,Att,Att/G,Yds,Avg,Yds/G,TD,Long,1st Downs,1st Down %,20+,40+,FUM
40,Matt Asiata,MIN,RB,164,10.9,570,3.5,38.0,9,19,33,20.1,0,0,1
41,Isaiah Crowell,CLE,RB,148,9.2,607,4.1,37.9,8,35,34,23.0,5,0,3
42,Fred Jackson,BUF,RB,141,10.1,525,3.7,37.5,2,38,24,17.0,1,0,0
43,DeAngelo Williams,CAR,RB,62,10.3,219,3.5,36.5,0,17,6,9.7,0,0,1
44,Khiry Robinson,NO,RB,76,7.6,362,4.8,36.2,3,62,23,30.3,2,1,1
45,Bishop Sankey,TEN,RB,152,9.5,569,3.7,35.6,2,22,26,17.1,1,0,2
46,Trent Richardson,IND,RB,159,10.6,519,3.3,34.6,3,27,25,15.7,1,0,2
47,Montee Ball,DEN,RB,55,11.0,172,3.1,34.4,1,23,9,16.4,1,0,1
48,Darren McFadden,OAK,RB,155,9.7,534,3.4,33.4,2,25,20,12.9,1,0,1
49,C.J. Spiller,BUF,RB,78,8.7,300,3.8,33.3,0,53,12,15.4,3,2,3
50,Alfred Blue,HOU,RB,169,10.6,528,3.1,33.0,2,46,29,17.2,2,1,0
51,Shonn Greene,TEN,RB,94,7.2,392,4.2,30.2,2,52,18,19.1,2,1,1
52,Knile Davis,KC,RB,134,8.4,463,3.5,28.9,6,48,23,17.2,3,1,3
53,Latavius Murray,OAK,RB,82,5.5,424,5.2,28.3,2,90T,18,22.0,4,1,1
54,Bernard Pierce,BAL,RB,93,7.2,366,3.9,28.2,2,28,20,21.5,4,0,1
55,Bobby Rainey,TB,RB,94,6.3,406,4.3,27.1,1,31,20,21.3,4,0,1
56,Reggie Bush,DET,RB,76,6.9,297,3.9,27.0,2,26T,9,11.8,1,0,0
56,Anthony Dixon,BUF,RB,105,6.6,432,4.1,27.0,2,47,13,12.4,3,1,1
58,Jonathan Dwyer,ARI,RB,16,8.0,51,3.2,25.5,1,20,3,18.8,1,0,0
59,Shane Vereen,NE,RB,96,6.0,391,4.1,24.4,2,19,15,15.6,0,0,0
60,Carlos Hyde,SF,RB,83,5.9,333,4.0,23.8,4,28,16,19.3,1,0,1
61,Toby Gerhart,JAC,RB,101,7.2,326,3.2,23.3,2,23,23,22.8,1,0,1
62,Charles Sims,TB,RB,66,8.2,185,2.8,23.1,1,20,10,15.2,1,0,2
63,Zac Stacy,STL,RB,76,5.8,293,3.9,22.5,1,16,13,17.1,0,0,2
64,Lorenzo Taliaferro,BAL,RB,68,5.2,292,4.3,22.5,4,31,17,25.0,3,0,1
65,Dan Herron,IND,RB,78,4.9,351,4.5,21.9,1,49T,17,21.8,1,1,1
66,Darren Sproles,PHI,RB,57,3.8,329,5.8,21.9,6,49T,18,31.6,2,1,2
67,Joseph Randle,DAL,RB,51,3.2,343,6.7,21.4,3,65T,12,23.5,3,2,2
68,James Starks,GB,RB,85,5.3,333,3.9,20.8,2,41,16,18.8,3,1,1
69,Pierre Thomas,NO,RB,45,4.1,222,4.9,20.2,2,27T,13,28.9,1,0,0
70,Robert Turbin,SEA,RB,74,4.6,310,4.2,19.4,0,17,16,21.6,0,0,1
71,Juwan Thompson,DEN,RB,54,3.6,272,5.0,18.1,3,47,17,31.5,2,1,1
72,Bryce Brown,BUF,RB,36,5.1,126,3.5,18.0,0,14,6,16.7,0,0,1
73,Christine Michael,SEA,RB,34,3.4,175,5.1,17.5,0,45,11,32.4,1,1,1
74,Donald Brown,SD,RB,85,6.5,223,2.6,17.2,0,16,11,12.9,0,0,0
75,Devonta Freeman,ATL,RB,65,4.1,248,3.8,15.5,1,31T,9,13.8,2,0,1
76,Roy Helu,WAS,RB,40,2.9,216,5.4,15.4,1,18,10,25.0,0,0,0
77,Benny Cunningham,STL,RB,66,4.1,246,3.7,15.4,3,20,12,18.2,1,0,0
78,Stepfan Taylor,ARI,RB,63,4.5,208,3.3,14.9,1,21,13,20.6,1,0,0
79,Fozzy Whittaker,CAR,RB,32,3.2,145,4.5,14.5,1,17,8,25.0,0,0,0
80,Antone Smith,ATL,RB,23,2.3,144,6.3,14.4,2,48T,6,26.1,2,1,1
81,Storm Johnson,JAC,RB,29,4.8,86,3.0,14.3,2,20,5,17.2,1,0,0
82,Daniel Thomas,MIA,RB,44,3.7,168,3.8,14.0,2,15,9,20.5,0,0,1
83,Jacquizz Rodgers,ATL,RB,58,3.6,217,3.7,13.6,1,17T,12,20.7,0,0,1
84,Darrin Reaves,CAR,RB,31,5.2,78,2.5,13.0,0,9,3,9.7,0,0,0
85,Peyton Hillis,NYG,RB,26,2.9,115,4.4,12.8,0,16,4,15.4,0,0,0
86,James White,NE,RB,9,3.0,38,4.2,12.7,0,11,1,11.1,0,0,0
86,Danny Woodhead,SD,RB,15,5.0,38,2.5,12.7,0,13,2,13.3,0,0,0
88,Chris Polk,PHI,RB,46,3.3,172,3.7,12.3,4,22,12,26.1,1,0,0
89,Jordan Todman,JAC,RB,32,2.0,186,5.8,11.6,1,62T,5,15.6,2,1,0
90,Ka'Deem Carey,CHI,RB,36,2.6,158,4.4,11.3,0,15,11,30.6,0,0,0
91,Mike Tolbert,CAR,FB,37,4.6,78,2.1,9.8,0,15,4,10.8,0,0,0
92,Jonathan Grimes,HOU,RB,39,2.4,153,3.9,9.6,0,11,5,12.8,0,0,0
93,De'Anthony Thomas,KC,RB,14,1.2,113,8.1,9.4,1,26,4,28.6,1,0,0
94,Bilal Powell,NYJ,RB,33,2.2,141,4.3,9.4,1,15,7,21.2,0,0,0
95,Dexter McCluster,TEN,RB,40,2.9,131,3.3,9.4,0,16,7,17.5,0,0,0
96,Ronnie Brown,SD,RB,14,2.0,59,4.2,8.4,0,11,5,35.7,0,0,0
97,Michael Cox,NYG,RB,4,1.0,33,8.3,8.2,0,17,1,25.0,0,0,0
98,Maurice Jones-Drew,OAK,RB,43,3.6,96,2.2,8.0,0,13,2,4.7,0,0,1
99,Damien Williams,MIA,RB,36,2.2,122,3.4,7.6,0,19,6,16.7,0,0,0
100,Jorvorskie Lane,TB,FB,3,0.3,58,19.3,6.4,0,54,1,33.3,1,1,0
101,Lance Dunbar,DAL,RB,29,1.8,99,3.4,6.2,0,14,5,17.2,0,0,0
102,George Winn,DET,RB,19,1.6,73,3.8,6.1,0,16,4,21.1,0,0,0
103,Chris Thompson,WAS,RB,3,1.5,12,4.0,6.0,0,7,0,0.0,0,0,0
104,Joe Banyard,MIN,RB,21,1.4,88,4.2,5.9,0,16,4,19.0,0,0,0
105,Marcel Reece,OAK,FB,21,1.4,85,4.0,5.7,0,11,5,23.8,0,0,1
106,Brandon Bolden,NE,RB,28,1.8,89,3.2,5.6,1,17,4,14.3,0,0,0
107,John Kuhn,GB,FB,24,1.5,85,3.5,5.3,1,11,4,16.7,0,0,0
108,Silas Redd,WAS,RB,16,1.1,75,4.7,5.0,1,14T,5,31.3,0,0,1
109,LaMichael James,MIA,RB,3,1.5,9,3.0,4.5,0,5,0,0.0,0,0,0
110,DuJuan Harris,GB,RB,16,1.1,64,4.0,4.3,0,12,5,31.3,0,0,0
111,Marion Grice,ARI,RB,15,1.5,41,2.7,4.1,1,8,3,20.0,0,0,0
112,Jeremy Stewart,DEN,RB,6,1.0,22,3.7,3.7,0,16,1,16.7,0,0,0
113,Theo Riddick,DET,RB,20,1.4,51,2.6,3.6,0,9,2,10.0,0,0,0
114,Leon Washington,TEN,RB,13,0.8,57,4.4,3.6,0,16,1,7.7,0,0,0
115,Cyrus Gray,KC,RB,8,0.9,31,3.9,3.4,1,6T,1,12.5,0,0,0
116,Mike James,TB,RB,19,1.7,37,1.9,3.4,0,9,4,21.1,0,0,0
117,Dri Archer,PIT,RB,10,0.8,40,4.0,3.3,0,15,2,20.0,0,0,0
118,Josh Harris,PIT,RB,9,1.8,16,1.8,3.2,0,4,1,11.1,0,0,0
119,Alfonso Smith,SF,RB,7,1.2,19,2.7,3.2,0,12,1,14.3,0,0,0
120,Austin Johnson,NO,FB,8,1.1,22,2.8,3.1,0,8,5,62.5,0,0,0
121,Rex Burkhead,CIN,RB,9,1.0,27,3.0,3.0,1,10T,1,11.1,0,0,0
121,Orleans Darkwa,NYG,RB,5,0.7,21,4.2,3.0,1,12T,1,20.0,0,0,0
121,Zurlon Tipton,IND,RB,10,1.7,18,1.8,3.0,0,9,0,0.0,0,0,0
121,Fitzgerald Toussaint,BAL,RB,6,1.5,12,2.0,3.0,0,12,1,16.7,0,0,0
125,Cedric Peerman,CIN,RB,15,0.9,43,2.9,2.7,0,21,2,13.3,1,0,1
126,Trey Watts,STL,RB,7,0.5,30,4.3,2.1,0,9,2,28.6,0,0,0
127,Travaris Cadet,NO,RB,10,0.7,32,3.2,2.1,0,8,1,10.0,0,0,1
128,Frank Summers,BUF,FB,6,0.6,17,2.8,1.7,1,4,4,66.7,0,0,0
129,Jerome Felton,MIN,FB,4,0.2,27,6.8,1.7,0,21,2,50.0,1,0,0
130,John Conner,NYJ,FB,6,0.5,20,3.3,1.7,0,13,1,16.7,0,0,0
131,Joe McKnight,KC,RB,1,0.5,3,3.0,1.5,0,3,0,0.0,0,0,0
132,Darrel Young,WAS,FB,9,0.6,22,2.4,1.4,3,14,6,66.7,0,0,0
133,Jed Collins,DET,FB,8,0.5,19,2.4,1.2,0,3,5,62.5,0,0,0
134,Henry Hynoski,NYG,FB,7,0.4,13,1.9,0.8,0,4,4,57.1,0,0,0
135,Tommy Bohanon,NYJ,FB,1,0.2,3,3.0,0.8,0,3,1,100.0,0,0,0
136,Robert Hughes,ARI,RB,7,0.4,11,1.6,0.7,0,5,3,42.9,0,0,0
137,Edwin Baker,NO,RB,1,0.3,2,2.0,0.7,0,2,1,100.0,0,0,0
138,Jackie Battle,TEN,RB,5,0.3,9,1.8,0.6,1,5,4,80.0,0,0,0
138,Bruce Miller,SF,FB,6,0.4,9,1.5,0.6,0,4,2,33.3,0,0,1
140,Anthony Sherman,KC,FB,2,0.1,8,4.0,0.5,0,4,1,50.0,0,0,0
141,Erik Lorig,NO,FB,3,0.3,4,1.3,0.4,0,4,0,0.0,0,0,1
142,James Develin,NE,FB,3,0.2,5,1.7,0.3,0,5,0,0.0,0,0,0
143,Will Tukuafu,SEA,FB,1,0.1,2,2.0,0.2,0,2,1,100.0,0,0,0
144,Ray Agnew,CLE,FB,2,0.2,2,1.0,0.2,0,2,1,50.0,0,0,0
145,Will Johnson,PIT,FB,2,0.1,0,0.0,0.0,0,0,0,0.0,0,0,0
145,Jamize Olawale,OAK,RB,2,0.1,0,0.0,0.0,0,0,0,0.0,0,0,0
145,Jalen Parmele,ARI,RB,1,1.0,0,0.0,0.0,0,0,0,0.0,0,0,0
